No,Time,Source,Destination,Protocol,Length,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3,AdditionalInfo4,AdditionalInfo5,AdditionalInfo6,AdditionalInfo7,AdditionalInfo8,AdditionalInfo9,AdditionalInfo10,AdditionalInfo11,AdditionalInfo12,AdditionalInfo13,AdditionalInfo14,AdditionalInfo15,AdditionalInfo16,AdditionalInfo17,AdditionalInfo18,AdditionalInfo19,AdditionalInfo20,AdditionalInfo21,AdditionalInfo22,AdditionalInfo23,AdditionalInfo24,AdditionalInfo25,AdditionalInfo26,AdditionalInfo27,AdditionalInfo28,AdditionalInfo29,AdditionalInfo30
1,0.000000,0.0.0.0,255.255.255.255,DHC,342,DHCP Request  - Transaction ID 0x9a71fd19,"Frame 1: 342 bytes on wire (2736 bits), 342 bytes captured (2736 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Broadcast (ff:ff:ff:ff:ff:ff)","Internet Protocol Version 4, Src: 0.0.0.0 (0.0.0.0), Dst: 255.255.255.255 (255.255.255.255)","User Datagram Protocol, Src Port: 68 (68), Dst Port: 67 (67)",Bootstrap Protocol (Request),,,,,,,,,,,,,,,,,,,,,,,,
2,0.210908,Intel_b7:f2:f5,Broadcast,ARP,60,Gratuitous ARP for 24.6.125.19 (Request),"Frame 2: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Broadcast (ff:ff:ff:ff:ff:ff)",Address Resolution Protocol (request/gratuitous ARP),,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.938012,67.70.67.186,24.6.125.19,TCP,62,2431→5554 [SYN] Seq=0 Win=16384 Len=0 MSS=1440 SACK_PERM=1,"Frame 3: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 67.70.67.186 (67.70.67.186), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 2431 (2431), Dst Port: 5554 (5554), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
4,0.958370,Intel_b7:f2:f5,Broadcast,ARP,60,Gratuitous ARP for 24.6.125.19 (Request),"Frame 4: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Broadcast (ff:ff:ff:ff:ff:ff)",Address Resolution Protocol (request/gratuitous ARP),,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.755318,67.70.67.186,24.6.125.19,TCP,62,2860→9898 [SYN] Seq=0 Win=16384 Len=0 MSS=1440 SACK_PERM=1,"Frame 5: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 67.70.67.186 (67.70.67.186), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 2860 (2860), Dst Port: 9898 (9898), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
6,1.959831,Intel_b7:f2:f5,Broadcast,ARP,60,Gratuitous ARP for 24.6.125.19 (Request),"Frame 6: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Broadcast (ff:ff:ff:ff:ff:ff)",Address Resolution Protocol (request/gratuitous ARP),,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.964125,24.6.125.19,224.0.0.2,ICM,60,Router solicitation,"Frame 7: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: IPv4mcast_02 (01:00:5e:00:00:02)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 224.0.0.2 (224.0.0.2)",Internet Control Message Protocol,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.968377,24.6.125.19,224.0.0.2,ICM,60,Router solicitation,"Frame 8: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: IPv4mcast_02 (01:00:5e:00:00:02)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 224.0.0.2 (224.0.0.2)",Internet Control Message Protocol,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.972651,24.6.125.19,224.0.0.2,ICM,60,Router solicitation,"Frame 9: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: IPv4mcast_02 (01:00:5e:00:00:02)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 224.0.0.2 (224.0.0.2)",Internet Control Message Protocol,,,,,,,,,,,,,,,,,,,,,,,,,
10,556.468939,203.101.42.68,24.6.125.19,TCP,62,1560→4899 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 10: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 203.101.42.68 (203.101.42.68), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 1560 (1560), Dst Port: 4899 (4899), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
11,556.468943,Intel_b7:f2:f5,Broadcast,ARP,60,Who has 24.6.112.1?  Tell 24.6.125.19,"Frame 11: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Broadcast (ff:ff:ff:ff:ff:ff)",Address Resolution Protocol (request),,,,,,,,,,,,,,,,,,,,,,,,,,
12,556.478580,24.6.125.19,203.101.42.68,TCP,60,"4899→1560 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 12: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 203.101.42.68 (203.101.42.68)","Transmission Control Protocol, Src Port: 4899 (4899), Dst Port: 1560 (1560), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
13,556.480712,Cadant_22:89:c2,Intel_b7:f2:f5,ARP,60,24.6.112.1 is at 00:01:5c:22:89:c2,"Frame 13: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)",Address Resolution Protocol (reply),,,,,,,,,,,,,,,,,,,,,,,,,,
14,557.229229,203.101.42.68,24.6.125.19,TCP,62,[TCP Spurious Retransmission] 1560→4899 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 14: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 203.101.42.68 (203.101.42.68), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 1560 (1560), Dst Port: 4899 (4899), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
15,557.229235,24.6.125.19,203.101.42.68,TCP,60,"4899→1560 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 15: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 203.101.42.68 (203.101.42.68)","Transmission Control Protocol, Src Port: 4899 (4899), Dst Port: 1560 (1560), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
16,557.932751,203.101.42.68,24.6.125.19,TCP,62,[TCP Spurious Retransmission] 1560→4899 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 16: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 203.101.42.68 (203.101.42.68), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 1560 (1560), Dst Port: 4899 (4899), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
17,557.932857,24.6.125.19,203.101.42.68,TCP,60,"4899→1560 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 17: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 203.101.42.68 (203.101.42.68)","Transmission Control Protocol, Src Port: 4899 (4899), Dst Port: 1560 (1560), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
18,596.714158,211.91.150.78,24.6.125.19,TCP,62,2597→9898 [SYN] Seq=0 Win=16384 Len=0 MSS=1440 SACK_PERM=1,"Frame 18: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 211.91.150.78 (211.91.150.78), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 2597 (2597), Dst Port: 9898 (9898), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
